feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
vwap_m_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,2883,28947.34,1.2,143.73819653711075
vwap_m_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3148,30375.69,0.34,73.4591533830686
vwap_m_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3340,28256.07,0.22,184.09013828732392
vwap_m_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,2700,31191.94,1.14,57.96892098450373
vwap_m_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3565,27549.54,0.18,225.49640701463048
vwap_m_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,2879,31915.89,2.83,71.10160983072493
vwap_m_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,16746,0.0,3,-1,78.29,0.7858050554161993
vwap_ma_align,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,16746,0.0,2,1,77.01,0.42077195916248583
vwap_slope_10,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,16746,0.0,3558,0.0,2.89,13.787306637564933
vwap_slope_10_dir,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,16746,0.0,3,1,78.52,0.7822584860423863
vwap_slope_30,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,16746,0.0,4058,0.0,2.89,8.970064182899048
vwap_triple_align,4_VWAP_ANCHOR,4_vwap_dynamics,ALIVE,,False,16746,0.0,3,0,59.78,0.6332817063643645
vwap_w,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3814,29103.53,0.2,467.082006233047
vwap_w_sd1d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3390,28712.55,0.45,574.1118966663813
vwap_w_sd1u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3826,29465.21,0.18,362.44705933738067
vwap_w_sd2d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3174,28321.93,0.81,682.4108302131085
vwap_w_sd2u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3690,29890.64,0.56,263.0805402021942
vwap_w_sd3d,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,2936,27931.1,0.63,791.4580805580653
vwap_w_sd3u,4_VWAP_ANCHOR,4_vwap_abs,ALIVE,,False,16746,2.89,3566,30281.99,0.43,178.03380756892412
vwap_w_side,4_VWAP_ANCHOR,4_vwap_side,ALIVE,,False,16746,0.0,3,-1,57.32,0.9697208679941316
within_news_715_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.57,0.06542971972003424
within_news_730_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.71,0.05346157636286489
within_news_830_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.64,0.05975037811402636
within_news_845_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.57,0.06542971972003424
within_news_900_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.57,0.06542971972003424
within_news_930_5m,10_SESSION_CALENDAR,10_news_proximity,ALIVE,,True,16746,0.0,2,0,99.39,0.07780685344920243
