feature,family,subfamily,status,reasons,is_event_based,n_total,null_pct,n_unique,top_value,top_freq_pct,std
big_ask_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,20,0.0,56.28,3.754615475576968
big_ask_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,18,0.0,71.73,3.088489067783962
big_ask_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,17,0.0,93.96,0.978930843415525
big_ask_cluster_20t_t4,5_ORDER_FLOW,5c_big_clusters,DEAD,top_freq>98%,False,13338,0.0,11,0.0,98.3,0.5692376728892531
big_ask_cluster_50t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,60,0.0,49.16,9.08721273312583
big_bid_cluster_20t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,55,0.0,50.62,8.382092186299388
big_bid_cluster_20t_t1,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,20,0.0,50.62,4.410371336914375
big_bid_cluster_20t_t2,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,19,0.0,70.57,3.6230870508796986
big_bid_cluster_20t_t3,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,20,0.0,94.32,1.1597787523914738
big_bid_cluster_20t_t4,5_ORDER_FLOW,5c_big_clusters,DEAD,top_freq>99%,False,13338,0.0,11,0.0,99.17,0.47898019228730065
big_bid_cluster_50t,5_ORDER_FLOW,5c_big_clusters,ALIVE,,False,13338,0.0,68,0.0,44.23,10.578440465663087
bn_absorb_ask,6_SIERRA_BN,6_bn_absorb,DEAD,top_freq>98%,False,13338,0.0,2,0,98.26,0.13073394337945227
bn_absorb_bid,6_SIERRA_BN,6_bn_absorb,DEAD,top_freq>99%,False,13338,0.0,2,0,98.53,0.12032837563826716
bn_color_dn,6_SIERRA_BN,6_bn_color,ALIVE,,False,13338,0.0,2,0,93.88,0.2396576056096902
bn_color_dn_2,6_SIERRA_BN,6_bn_color,DEAD,top_freq>100%,False,13338,0.0,2,0,99.66,0.05862506929509768
bn_color_dn_2_fwd1,6_SIERRA_BN,6_bn_color,DEAD,top_freq>100%,False,13338,27.17,2,0,99.63,0.060763944743413865
bn_color_dn_fwd1,6_SIERRA_BN,6_bn_color,ALIVE,,False,13338,27.17,2,0,94.34,0.23111375078884003
bn_color_up,6_SIERRA_BN,6_bn_color,ALIVE,,False,13338,0.0,2,0,93.27,0.2504569880213762
bn_color_up_2,6_SIERRA_BN,6_bn_color,DEAD,top_freq>100%,False,13338,0.0,2,0,99.69,0.05535770151496433
bn_color_up_2_fwd1,6_SIERRA_BN,6_bn_color,DEAD,top_freq>100%,False,13338,27.17,2,0,99.74,0.050665389200032135
bn_color_up_fwd1,6_SIERRA_BN,6_bn_color,ALIVE,,False,13338,27.17,2,0,93.79,0.24129236506689203
